Descriptio,Name,Latitude,Longitude,Number of Records,Path,Shapeid
Municipio,Chisec,15.72188187,-90.49194336,1,322,1
Municipio,Chisec,15.74136925,-90.48474884,1,323,1
Municipio,Chisec,15.74436378,-90.48587036,1,324,1
Municipio,Chisec,15.74914265,-90.48975372,1,325,1
Municipio,Chisec,15.76951027,-90.50134277,1,326,1
Municipio,Chisec,15.7711277,-90.50258636,1,327,1
Municipio,Chisec,15.75636387,-90.52072144,1,328,1
Municipio,Chisec,15.7575264,-90.53309631,1,329,1
Municipio,Chisec,15.77341843,-90.5456543,1,330,1
Municipio,Chisec,15.77583218,-90.54677582,1,331,1
Municipio,Chisec,15.77940083,-90.54598999,1,332,1
Municipio,Chisec,15.78008461,-90.54391479,1,333,1
Municipio,Chisec,15.7818079,-90.541008,1,334,1
Municipio,Chisec,15.79193401,-90.5398941,1,335,1
Municipio,Chisec,15.79457569,-90.53656769,1,336,1
Municipio,Chisec,15.79554367,-90.53211975,1,337,1
Municipio,Chisec,15.80319691,-90.53275299,1,338,1
Municipio,Chisec,15.80745029,-90.53379822,1,339,1
Municipio,Chisec,15.8087244,-90.54138184,1,340,1
Municipio,Chisec,15.80752277,-90.54209137,1,341,1
Municipio,Chisec,15.80740166,-90.54226685,1,342,1
Municipio,Chisec,15.80988693,-90.54504395,1,343,1
Municipio,Chisec,15.80971432,-90.54682159,1,344,1
Municipio,Chisec,15.80655003,-90.5500946,1,345,1
Municipio,Chisec,15.80518341,-90.55899048,1,346,1
Municipio,Chisec,15.8110466,-90.55902863,1,347,1
Municipio,Chisec,15.81225872,-90.56239319,1,348,1
Municipio,Chisec,15.81117439,-90.564888,1,349,1
Municipio,Chisec,15.81174374,-90.56928253,1,350,1
Municipio,Chisec,15.81088543,-90.56974792,1,351,1
Municipio,Chisec,15.81302738,-90.57750702,1,352,1
Municipio,Chisec,15.81135941,-90.5822525,1,353,1
Municipio,Chisec,15.81590843,-90.58596802,1,354,1
Municipio,Chisec,15.81877995,-90.58364868,1,355,1
Municipio,Chisec,15.82085609,-90.58440399,1,356,1
Municipio,Chisec,15.82183647,-90.58849335,1,357,1
Municipio,Chisec,15.82294178,-90.59512329,1,358,1
Municipio,Chisec,15.82397175,-90.59494781,1,359,1
Municipio,Chisec,15.82586575,-90.59262085,1,360,1
Municipio,Chisec,15.82920933,-90.59368134,1,361,1
Municipio,Chisec,15.83155918,-90.59259796,1,362,1
Municipio,Chisec,15.83408737,-90.59217072,1,363,1
Municipio,Chisec,15.83335304,-90.60047913,1,364,1
Municipio,Chisec,15.8298521,-90.60233307,1,365,1
Municipio,Chisec,15.82898808,-90.60452271,1,366,1
Municipio,Chisec,15.83589554,-90.60727692,1,367,1
Municipio,Chisec,15.83560944,-90.61065674,1,368,1
Municipio,Chisec,15.82658768,-90.6153717,1,369,1
Municipio,Chisec,15.84000969,-90.63802338,1,370,1
